normal	->	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	½|	0|	1|	1|	½|	1|
fire	->	1|	½|	½|	1|	2|	2|	1|	1|	1|	1|	1|	2|	½|	1|	½|	1|	2|	1|
water	->	1|	2|	½|	1|	½|	1|	1|	1|	2|	1|	1|	1|	2|	1|	½|	1|	1|	1|
electric->	1|	1|	2|	½|	½|	1|	1|	1|	0|	2|	1|	1|	1|	1|	½|	1|	1|	1|
grass	->	1|	½|	2|	1|	½|	1|	1|	½|	2|	½|	1|	½|	2|	1|	½|	1|	½|	1|
ice		->	1|	½|	½|	1|	2|	½|	1|	1|	2|	2|	1|	1|	1|	1|	2|	1|	½|	1|
fighting->	2|	1|	1|	1|	1|	2|	1|	½|	1|	½|	½|	½|	2|	0|	1|	2|	2|	½|
poison	->	1|	1|	1|	1|	2|	1|	1|	½|	½|	1|	1|	1|	½|	½|	1|	1|	0|	2|
ground	->	1|	2|	1|	2|	½|	1|	1|	2|	1|	0|	1|	½|	2|	1|	1|	1|	2|	1|
flying	->	1|	1|	1|	½|	2|	1|	2|	1|	1|	1|	1|	2|	½|	1|	1|	1|	½|	1|
psychic	->	1|	1|	1|	1|	1|	1|	2|	2|	1|	1|	½|	1|	1|	1|	1|	0|	½|	1|
bug		->	1|	½|	1|	1|	2|	1|	½|	½|	1|	½|	2|	1|	1|	½|	1|	2|	½|	½|
rock	->	1|	2|	1|	1|	1|	2|	½|	1|	½|	2|	1|	2|	1|	1|	1|	1|	½|	1|
ghost	->	0|	1|	1|	1|	1|	1|	1|	1|	1|	1|	2|	1|	1|	2|	1|	½|	1|	1|
dragon	->	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	1|	2|	1|	½|	0|
dark	->	1|	1|	1|	1|	1|	1|	½|	1|	1|	1|	2|	1|	1|	2|	1|	½|	1|	½|
steel	->	1|	½|	½|	½|	1|	2|	1|	1|	1|	1|	1|	1|	2|	1|	1|	1|	½|	2|
fairy	->	1|	½|	1|	1|	1|	1|	2|	½|	1|	1|	1|	1|	1|	1|	2|	2|	½|	1|
